method,task,classifier,feature,coefficient,abs_coefficient
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c1_brain_local_var_slice_std,-1.3327216453197637,1.3327216453197637
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r0_c2_brain_mean_slice_std,1.2423813725012547,1.2423813725012547
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r0_c2_brain_median_slice_std,-1.208959286097734,1.208959286097734
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r0_c2_brain_p10_slice_mean,-1.0893151769411529,1.0893151769411529
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c0_brain_p90_slice_std,-1.0348967413357113,1.0348967413357113
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c1_wm_p90_slice_std,1.0045040104637446,1.0045040104637446
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c0_brain_std_slice_std,-0.9854049392463211,0.9854049392463211
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r0_c0_wm_local_var_slice_mean,-0.9696622265926891,0.9696622265926891
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c0_brain_grad_mean_slice_std,0.9682366117623675,0.9682366117623675
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c1_wm_median_slice_std,-0.9502811350401514,0.9502811350401514
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r0_c0_brain_p90_slice_std,-0.9218767499507164,0.9218767499507164
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c1_brain_grad_mean_slice_std,0.9131658387232728,0.9131658387232728
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c1_brain_mean_slice_std,-0.902343394810663,0.902343394810663
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r0_c0_wm_p90_slice_std,0.8708637543281812,0.8708637543281812
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c1_brain_local_var_slice_mean,0.8613145162137583,0.8613145162137583
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c2_wm_median_slice_mean,0.8539111527806234,0.8539111527806234
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r0_c2_wm_local_var_slice_mean,0.8401447961024142,0.8401447961024142
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c0_wm_std_slice_std,0.8351399368283771,0.8351399368283771
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r0_c2_brain_p10_slice_std,0.8310263672906113,0.8310263672906113
A080+DS Full,cn_vs_ad,logistic,roi_r0_c2_wm_count_slice_std,1.367740095545264,1.367740095545264
A080+DS Full,cn_vs_ad,logistic,roi_r1_c0_brain_p10_slice_std,1.0848815750135774,1.0848815750135774
A080+DS Full,cn_vs_ad,logistic,roi_r0_c1_brain_grad_mean_slice_std,-0.8662766815590113,0.8662766815590113
A080+DS Full,cn_vs_ad,logistic,roi_r1_c1_brain_grad_mean_slice_std,0.8647963881280153,0.8647963881280153
A080+DS Full,cn_vs_ad,logistic,roi_r1_c2_wm_count_slice_std,-0.8296897813401632,0.8296897813401632
A080+DS Full,cn_vs_ad,logistic,roi_r1_c1_brain_median_slice_std,-0.7124586177017265,0.7124586177017265
A080+DS Full,cn_vs_ad,logistic,roi_r1_c1_wm_count_slice_std,0.6889145263460886,0.6889145263460886
A080+DS Full,cn_vs_ad,logistic,roi_r0_c0_wm_grad_mean_slice_std,-0.6471793980041971,0.6471793980041971
A080+DS Full,cn_vs_ad,logistic,roi_r1_c2_wm_count_slice_mean,-0.6118890638792686,0.6118890638792686
A080+DS Full,cn_vs_ad,logistic,roi_r0_c1_wm_std_slice_std,0.5974552193169198,0.5974552193169198
A080+DS Full,cn_vs_ad,logistic,roi_r0_c0_wm_local_var_slice_mean,-0.5911296846271482,0.5911296846271482
A080+DS Full,cn_vs_ad,logistic,roi_r1_c2_brain_median_slice_std,-0.5888857496886409,0.5888857496886409
A080+DS Full,cn_vs_ad,logistic,roi_r0_c0_wm_p90_slice_std,0.5629571062828814,0.5629571062828814
A080+DS Full,cn_vs_ad,logistic,roi_r1_c0_brain_p90_slice_std,-0.5609706586929192,0.5609706586929192
A080+DS Full,cn_vs_ad,logistic,roi_r1_c1_brain_mean_slice_std,-0.5550741842482487,0.5550741842482487
A080+DS Full,cn_vs_ad,logistic,roi_r1_c2_brain_p10_slice_std,0.5415631357119486,0.5415631357119486
A080+DS Full,cn_vs_ad,logistic,roi_r0_c1_wm_count_slice_mean,0.5398457593079434,0.5398457593079434
A080+DS Full,cn_vs_ad,logistic,roi_r0_c0_wm_median_slice_std,0.5086440918624952,0.5086440918624952
A080+DS Full,cn_vs_ad,logistic,roi_r0_c1_wm_count_slice_std,-0.5061942888075758,0.5061942888075758
A080+DS Full,cn_vs_ad,logistic,roi_r0_c1_brain_mean_slice_std,0.5037361465267423,0.5037361465267423
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c2_wm_count_slice_std,0.6058546732005632,0.6058546732005632
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c0_brain_p10_slice_std,0.46203486610448796,0.46203486610448796
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c1_brain_grad_mean_slice_std,-0.45698324178550803,0.45698324178550803
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c1_brain_median_slice_std,-0.44650760501131853,0.44650760501131853
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c2_wm_count_slice_std,-0.43671903926141165,0.43671903926141165
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c1_brain_grad_mean_slice_std,0.378565680811525,0.378565680811525
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c1_brain_mean_slice_std,0.33026589577325305,0.33026589577325305
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c2_brain_p10_slice_std,0.32991637261717954,0.32991637261717954
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c0_wm_grad_mean_slice_std,-0.3216909113413535,0.3216909113413535
A080+DS Full,cn_vs_ad,linear_svm,roi_r1_c0_brain_p90_slice_std,-0.308870455354124,0.308870455354124
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c1_wm_count_slice_std,-0.3008744312321231,0.3008744312321231
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c1_wm_std_slice_std,0.29959164694538976,0.29959164694538976
A080+DS Full,cn_vs_ad,linear_svm,roi_r0_c0_wm_local_var_slice_mean,-0.29535955563848226,0.29535955563848226
